,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
96,킹 오브 파이터,2015-01-30,씨네라인월드(주),진가상,15세이상관람가,2306.666667,51780,NA,0,금요일,북아메리카,93,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,4
97,7번째 아들,2015-02-11,유니버설픽쳐스인터내셔널 코리아(유),세르게이 보드로프,12세이상관람가,92598,1647207.667,615517.7419,0,수요일,북아메리카,102,265872,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,C,14760,92598
98,옐로우버드,2015-02-18,"(주)영화사오원,(주)브리즈픽처스",도미니크 몽페리,전체관람가,18020,8150.944444,21063.98413,1,수요일,유럽,90,17179,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C,3870,18900
99,모데카이,2015-02-18,(주)나이너스엔터테인먼트,데이빗 코엡,15세이상관람가,0,3001115,60803.77778,1,수요일,북아메리카,106,140958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C,326,78070
100,나이트 크롤러,2015-02-26,(주)스톰픽쳐스코리아,댄 길로이,청소년관람불가,55892,257938,33707,0,목요일,북아메리카,117,432217,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,B,263,56299
101,기화,2015-02-26,아방가르드 필름,문정윤,청소년관람불가,0,0,NA,0,목요일,아시아,127,15879,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,214,831
102,소셜포비아,2015-03-12,CGV아트하우스,홍석재,15세이상관람가,124686,487009.7222,345363.1111,0,목요일,아시아,102,278045,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,202,251551
103,오르페오와 에우리디체,2015-02-07,(주)케빈앤컴퍼니,온드레이 하벨카,전체관람가,924,NA,825.1818182,0,토요일,유럽,76,1894,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,155,944
104,개: dog eat dog,2015-03-05,"어썸피플,어뮤즈",황욱,청소년관람불가,855114.8086,4106.833333,959.090909,0,목요일,아시아,101,125749,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C,146,1505
105,엘리제궁의 요리사,2015-03-19,판씨네마(주),크리스티앙 뱅상,12세이상관람가,22521,10391.33333,209118.1667,0,목요일,유럽,90,57901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,73,22796
